date,solar_hrs_demand_mw,non_solar_hrs_demand_mw,wind_contribution_mw,wind_contribution_pct,solar_contribution_mw,solar_contribution_pct,vre_total_mw,vre_total_pct,max_wind_gen_mw,max_solar_gen_mw,max_vre_gen_mw,max_wind_penetration_pct,max_solar_penetration_pct,max_vre_penetration_pct,wind_curtail_mw,wind_curtail_mu,solar_curtail_mw,solar_curtail_mu,total_curtail_mu,tras_wind_mw,tras_wind_mu,tras_solar_mw,tras_solar_mu,curtail_reasons
2026-05-04,0,0,0,0.0,0,0.0,0,0.0,18856,75288,83242,9.23,36.09,39.68,25,0.06,1592,4.44,4.5,1179,3.59,10971,34.97,"/ Rajasthan
र र्स्थ न: Due to high frequency and heavy underdrawal and O/L at 400 K"
2026-05-05,221576,215423,6518,2.94,57674,26.03,64192,28.97,12660,78192,82082,6.07,37.24,39.09,0,0.0,158,0.66,0.66,1364,4.66,4016,11.18,र र्स्थ न / Rajasthan: Due to O/L at 220 KV Bikaner - Gajner I & II and O/L of ICT'
2026-05-06,222744,221575,6797,3.05,56509,25.37,63306,28.42,10692,78130,82234,5.22,37.28,39.12,0,0.0,0,0.0,0.0,1033,4.05,3186,10.79,No curtailment
2026-05-07,217814,218120,9254,4.25,59738,27.43,68992,31.67,13156,76583,81482,6.1,36.05,38.32,502,1.06,2312,4.33,5.39,527,1.13,5847,14.21,र र्स्थ न / Rajasthan: Due to O/L at 220 KV Bikaner - Gajner I & II and O/L of ICT' | गर्ुर त / Gujarat: RE Curtailment 20 % Solar generation and 20% Wind Generation
2026-05-08,223878,221314,8850,3.95,57199,25.55,66049,29.5,12930,79032,82498,5.89,36.73,38.34,178,0.15,1000,1.53,1.68,609,1.13,6306,14.37,र र्स्थ न / Rajasthan: Due to overloading of ICts at Bhadla and 220 Bikaner-Gajner  | गर्ुर त / Gujarat: 1. In view of the system requirement and grid security and s
2026-05-09,226682,223016,8705,3.84,58385,25.76,67090,29.6,11164,78161,83029,5.26,35.98,38.15,106,0.18,1005,2.26,2.44,534,0.76,6065,14.29,र र्स्थ न / Rajasthan: Due to over loading of ICT at Bhadla and Bikaner | गर्ुर त / Gujarat: To control Underdrawl
2026-05-10,212671,224820,8047,3.78,60276,28.34,68323,32.13,12268,69829,76890,5.55,33.76,36.9,1022,1.94,3635,6.52,8.46,1016,3.43,11152,42.75,"र र्स्थ न / Rajasthan: 155 MW Due to over loading of 220 Gajner Bikaner ckt, 1583 M | गर्ुर त / Gujarat: To control Underdrawl"
2026-05-11,241522,234304,7660,3.17,57166,23.67,64826,26.84,12050,81572,87312,5.61,35.62,38.09,235,0.95,940,3.7,4.65,120,0.22,6855,25.26,र र्स्थ न / Rajasthan: Due to O/L at 220 KV Bikaner - Gajner I & II and O/L of ICT'
2026-05-12,247881,238289,8067,3.25,56209,22.68,64277,25.93,11497,81220,85930,5.06,34.96,36.94,147,0.41,1424,2.62,3.03,0,0.0,0,0.0,र र्स्थ न / Rajasthan: Due to O/L at 220 KV Bikaner - Gajner I & II and O/L of ICT' | बीक नरे / Bikaner: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2(This F | फतहेगढ़ 2 / Fatehgarh 2: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2(This F | फतहेगढ़ 1 / Fatehgarh1: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2(This F | भ दल 2 / Bhadla2: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2 | फतहेगढ़ 3 / Fatehgarh 3: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2 | बीक नरे 2 / Bikaner 2: Due to outage(tripping) of 765kV Aligarh-Sikar2 ckt 2
2026-05-13,247680,232877,12036,4.86,43294,17.48,55330,22.34,15572,79178,87769,6.93,33.56,37.2,989,2.39,2278,5.92,8.31,0,0.0,0,0.0,र र्स्थ न / Rajasthan: Due to O/L at 220 KV Bikaner - Gajner I & II and O/L of ICT' | गर्ुर त / Gujarat: DUE TO HEAVY UD IN GUJARAT SYSTEM
